feature,importance
uas_3d_speed_mps,0.1484060033665215
duplicate_position_flag,0.10604010813454509
speed_variance_w5,0.0962373844211252
dist_to_operator,0.0824386853866759
trajectory_smoothness,0.08074165606111401
uas_speed_mps,0.07154949712476578
tortuosity_w5,0.058139216514031054
uas_step_distance,0.05447099535314788
rssi,0.045837064014718966
uas_height,0.040000144649084864
uas_3d_accel_mps2,0.039079894291000006
uas_geoalt,0.037767755316169785
straight_line_ratio,0.03128826459924013
uas_accel_mps2,0.024069758279240676
uas_heading_deg,0.022560878461261088
has_baroalt,0.013090356803389597
accel_feasibility_flag,0.011293647458606783
altitude_jump_flag,0.008951300309608312
bearing_to_operator,0.006693146411421902
operator_uas_bearing,0.006005945727453415
uas_vertical_accel_mps2,0.004780230353465043
speed_feasibility_flag,0.004060044962120813
bearing_to_receiver_rate,0.0034531582720058202
uas_vertical_speed_mps,0.0030448637292832576
position_jump_flag,3.1848032298755097e-15
